Time Stamp,AAL,FB,QCOM
2017-02-16 12:44:03,46.91,133.73,56.81
2017-02-16 12:44:17,46.90,133.73,56.81
2017-02-16 12:44:28,46.91,133.72,56.81
2017-02-16 12:44:40,46.92,133.74,56.83
2017-02-16 12:44:51,46.92,133.71,56.83
2017-02-16 12:45:02,46.91,133.70,56.83
2017-02-16 12:45:14,46.92,133.69,56.83
2017-02-16 12:45:25,46.92,133.66,56.83
2017-02-16 12:45:36,46.90,133.62,56.83
2017-02-16 12:45:47,46.90,133.62,56.81
2017-02-16 12:45:58,46.92,133.62,56.81
2017-02-16 12:46:12,46.94,133.60,56.81
2017-02-16 12:46:24,46.94,133.61,56.79
2017-02-16 12:46:36,46.95,133.60,56.78
2017-02-16 12:46:47,46.92,133.60,56.78
2017-02-16 12:47:04,46.90,133.60,56.78
2017-02-16 12:47:15,46.90,133.61,56.78
2017-02-16 12:47:26,46.89,133.62,56.78
2017-02-16 12:47:38,46.89,133.63,56.77
2017-02-16 12:47:49,46.89,133.60,56.77
2017-02-16 12:48:00,46.90,133.60,56.76
2017-02-16 12:48:17,46.90,133.60,56.76
2017-02-16 12:48:28,46.90,133.60,56.76
2017-02-16 12:48:39,46.90,133.59,56.77
2017-02-16 12:48:53,46.90,133.56,56.76
2017-02-16 12:49:07,46.89,133.57,56.77
2017-02-16 12:49:23,46.89,133.59,56.77
2017-02-16 12:49:35,46.90,133.59,56.76
2017-02-16 12:49:47,46.90,133.59,56.77
2017-02-16 12:49:58,46.90,133.62,56.77
2017-02-16 12:50:09,46.90,133.62,56.77
2017-02-16 12:50:20,46.92,133.63,56.77
2017-02-16 12:50:31,46.92,133.63,56.77
2017-02-16 12:50:41,46.92,133.63,56.78
2017-02-16 12:50:53,46.91,133.63,56.78
2017-02-16 12:51:05,46.90,133.63,56.78
2017-02-16 12:51:17,46.90,133.62,56.78
2017-02-16 12:51:27,46.89,133.64,56.76
2017-02-16 12:51:39,46.90,133.63,56.76
2017-02-16 12:51:51,46.90,133.68,56.76
2017-02-16 12:52:03,46.89,133.68,56.76
2017-02-16 12:52:15,46.90,133.68,56.76
2017-02-16 12:30:28,46.67,133.61,56.81
2017-02-16 12:30:40,46.67,133.60,56.80
