Time Stamp,AAPL,GOOGL,TSLA
2017-02-10 09:03:41,132.25,835.31,269.28
2017-02-10 09:03:52,132.25,835.31,269.38
2017-02-10 09:04:08,132.24,835.15,269.37
2017-02-10 09:04:20,132.25,835.10,269.42
2017-02-10 09:04:30,132.24,835.26,269.36
2017-02-10 09:04:41,132.25,835.26,269.36
2017-02-10 09:04:53,132.24,835.48,269.36
2017-02-10 09:05:04,132.25,835.62,269.49
2017-02-10 09:05:16,132.26,835.71,269.49
2017-02-10 09:05:26,132.26,835.74,269.71
2017-02-10 09:05:37,132.26,835.59,269.71
2017-02-10 09:05:49,132.26,835.70,269.78
2017-02-10 09:06:01,132.26,835.70,269.78
2017-02-10 09:06:12,132.26,835.85,269.78
2017-02-10 09:06:24,132.26,836.09,269.72
2017-02-10 09:06:36,132.26,836.20,269.65
2017-02-10 09:06:47,132.26,836.20,269.67
2017-02-10 09:06:58,132.26,836.19,269.67
2017-02-10 09:07:10,132.26,836.23,269.67
2017-02-10 09:07:21,132.27,836.25,269.81
2017-02-10 09:07:31,132.26,836.72,269.82
2017-02-10 09:07:42,132.27,836.74,269.83
2017-02-10 09:07:55,132.27,836.65,269.83
2017-02-10 09:08:08,132.30,836.61,269.79
2017-02-10 09:08:18,132.30,836.61,269.79
2017-02-10 09:08:30,132.29,836.61,269.71
2017-02-10 09:08:42,132.32,836.61,269.66
2017-02-10 09:08:57,132.33,836.61,269.62
2017-02-10 09:09:08,132.33,836.54,269.75
2017-02-10 09:09:19,132.34,836.54,269.75
2017-02-10 09:09:31,132.34,836.60,269.75
2017-02-10 09:09:43,132.35,836.85,269.75
2017-02-10 09:09:57,132.35,836.94,269.70
2017-02-10 09:10:09,132.35,836.94,269.82
2017-02-10 09:10:20,132.35,836.60,269.72
2017-02-10 09:10:32,132.35,836.69,269.64
2017-02-10 09:10:46,132.34,836.98,269.67
2017-02-10 09:10:57,132.35,836.86,269.82
2017-02-10 09:11:10,132.35,836.86,269.82
2017-02-10 09:11:21,132.35,836.90,269.82
2017-02-10 09:11:32,132.36,836.79,269.75
2017-02-10 09:11:44,132.34,836.74,269.74
2017-02-10 09:11:55,132.33,836.74,269.74
2017-02-10 09:12:08,132.34,836.90,269.74
2017-02-10 09:12:20,132.33,836.90,269.77
2017-02-10 09:12:31,132.34,836.73,269.79
2017-02-10 09:12:43,132.32,836.73,269.78
2017-02-10 09:12:54,132.33,836.73,269.85
2017-02-10 09:13:05,132.31,836.35,269.85
2017-02-10 09:13:15,132.34,836.28,269.85
2017-02-10 09:13:28,132.35,836.32,269.85
2017-02-10 09:13:39,132.34,836.61,269.85
2017-02-10 09:13:50,132.35,836.62,269.85
2017-02-10 09:14:01,132.34,836.62,269.85
2017-02-10 09:14:11,132.34,836.65,269.81
2017-02-10 09:14:22,132.33,836.47,269.80
2017-02-10 09:14:33,132.33,836.10,269.80
2017-02-10 09:14:45,132.32,836.10,269.83
2017-02-10 09:14:56,132.32,836.10,269.83
2017-02-10 09:15:07,132.28,836.01,269.85
2017-02-10 09:15:18,132.27,836.17,269.83
2017-02-10 09:15:29,132.27,836.18,269.81
2017-02-10 09:15:42,132.28,836.18,269.84
2017-02-10 09:15:52,132.30,836.18,269.83
2017-02-10 09:16:03,132.29,836.18,269.83
2017-02-10 09:16:14,132.29,836.18,269.85
2017-02-10 09:16:26,132.29,836.18,269.82
2017-02-10 09:16:38,132.30,836.18,269.85
2017-02-10 09:16:49,132.29,836.18,269.85
2017-02-10 09:17:00,132.31,836.18,269.85
2017-02-10 09:17:12,132.30,836.18,269.82
2017-02-10 09:17:23,132.31,836.18,269.82
2017-02-10 09:17:34,132.26,836.18,269.82
2017-02-10 09:17:45,132.25,836.05,269.66
2017-02-10 09:17:56,132.24,836.05,269.63
2017-02-10 09:18:07,132.24,836.05,269.63
2017-02-10 09:18:19,132.25,836.08,269.60
2017-02-10 09:18:29,132.26,835.99,269.60
2017-02-10 09:18:41,132.26,836.05,269.60
2017-02-10 09:18:52,132.26,835.77,269.60
2017-02-10 09:19:03,132.24,835.77,269.61
2017-02-10 09:19:14,132.24,835.77,269.61
2017-02-10 09:19:27,132.25,835.77,269.74
2017-02-10 09:19:40,132.24,835.77,269.79
2017-02-10 09:19:51,132.24,836.10,269.80
2017-02-10 09:20:02,132.25,836.34,269.80
2017-02-10 09:20:13,132.24,836.25,269.76
2017-02-10 09:20:24,132.25,836.08,269.77
2017-02-10 09:20:37,132.24,836.08,269.73
2017-02-10 09:20:49,132.24,836.08,269.78
2017-02-10 09:21:00,132.23,836.09,269.78
2017-02-10 09:21:12,132.21,836.09,269.65
2017-02-10 09:21:24,132.21,836.21,269.64
2017-02-10 09:21:38,132.22,836.09,269.64
2017-02-10 09:21:49,132.23,836.09,269.57
2017-02-10 09:22:00,132.24,836.09,269.57
2017-02-10 09:22:13,132.23,836.23,269.56
2017-02-10 09:22:26,132.22,836.23,269.50
2017-02-10 09:22:36,132.23,836.16,269.50
2017-02-10 09:22:49,132.23,836.13,269.43
